Year,Winner
2021,Joey Chestnut
2020,Joey Chestnut
2019,Joey Chestnut
2018,Joey Chestnut
2017,Joey Chestnut
2016,Joey Chestnut
2015,Matt Stonie
2014,Joey Chestnut
2013,Joey Chestnut
2012,Joey Chestnut
2011,Joey Chestnut
2010,Joey Chestnut
2009,Joey Chestnut
2008,Joey Chestnut
2007,Joey Chestnut
2006,Takeru Kobayashi
2005,Takeru Kobayashi
2004,Takeru Kobayashi
2003,Takeru Kobayashi
2002,Takeru Kobayashi
2001,Takeru Kobayashi
2000,Kazutoyo Arai
1999,Steve Keiner
1998,Hirofumi Nakajima
1997,Hirofumi Nakajima
1996,Hirofumi Nakajima
1996,Ed Krachie
1995,Ed Krachie
1994,Mike DeVito
1993,Mike DeVito
1993,Mike DeVito
1992,Frankie Dellarosa
1991,Frankie Dellarosa
1990,Mike DeVito
1989,Jay Green
1988,Jay Green
1987,Don Wolfman
1986,Mark Heller
1986,Hiroaki Tominaga
1985,Oscar Rodriguez
1984,Birgit Felden
1983,Emil Gomez
1982,Steven Abrams
1981,Thomas DeBerry
1980,Joe Baldini
1979,Jim Mattner
1978,Manel Hollenback
1975,Lonnie Brown
1974,Roberto Muriel
1974,John Connolly
1973,Unknown
1973,Unknown
1972,Melody Andorfer
1972,Jason Schechter
1967,Walter Paul