Season,Episode,Name,Director,Writer,Airdate,Viewership
1,1,Pilot,Ken Kwapis,Ricky Gervais & Stephen Merchant and Greg Daniels,24-Mar-05,11.2
1,2,Diversity Day,Ken Kwapis,B. J. Novak,29-Mar-05,6
1,3,Health Care,Ken Whittingham,Paul Lieberstein,5-Apr-05,5.8
1,4,The Alliance,Bryan Gordon,Michael Schur,12-Apr-05,5.4
1,5,Basketball,Greg Daniels,Greg Daniels,19-Apr-05,5
1,6,Hot Girl,Amy Heckerling,Mindy Kaling,26-Apr-05,4.8
2,1,The Dundies,Greg Daniels,Mindy Kaling,20-Sep-05,9
2,2,Sexual Harassment,Ken Kwapis,B. J. Novak,27-Sep-05,7.13
2,3,Office Olympics,Paul Feig,Michael Schur,4-Oct-05,8.3
2,4,The Fire,Ken Kwapis,B. J. Novak,11-Oct-05,7.6
2,5,Halloween,Paul Feig,Greg Daniels,18-Oct-05,8
2,6,The Fight,Ken Kwapis,Gene Stupnitsky & Lee Eisenberg,1-Nov-05,7.9
2,7,The Client,Greg Daniels,Paul Lieberstein,8-Nov-05,7.5
2,8,Performance Review,Paul Feig,Larry Wilmore,15-Nov-05,8
2,9,Email Surveillance,Paul Feig,Jennifer Celotta,22-Nov-05,8.1
2,10,Christmas Party,Charles McDougall,Michael Schur,6-Dec-05,9.7
2,11,Booze Cruise,Ken Kwapis,Greg Daniels,5-Jan-06,8.7
2,12,The Injury,Bryan Gordon,Mindy Kaling,12-Jan-06,10.3
2,13,The Secret,Dennie Gordon,Lee Eisenberg & Gene Stupnitsky,19-Jan-06,8.7
2,14,The Carpet,"Victor Nelli, Jr.",Paul Lieberstein,26-Jan-06,8.6
2,15,Boys and Girls,Dennie Gordon,B. J. Novak,2-Feb-06,5.42
2,16,Valentine's Day,Greg Daniels,Michael Schur,9-Feb-06,8.95
2,17,Dwight's Speech,Charles McDougall,Paul Lieberstein,2-Mar-06,8.4
2,18,Take Your Daughter to Work Day,"Victor Nelli, Jr.",Mindy Kaling,16-Mar-06,8.8
2,19,Michael's Birthday,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,30-Mar-06,7.8
2,20,Drug Testing,Greg Daniels,Jennifer Celotta,27-Apr-06,7.8
2,21,Conflict Resolution,Charles McDougall,Greg Daniels,4-May-06,7.4
2,22,Casino Night†,Ken Kwapis,Steve Carell,11-May-06,7.6
3,1,Gay Witch Hunt,Ken Kwapis,Greg Daniels,21-Sep-06,9.11
3,2,The Convention,Ken Whittingham,Gene Stupnitsky & Lee Eisenberg,28-Sep-06,7.78
3,3,The Coup,Greg Daniels,Paul Lieberstein,5-Oct-06,8.89
3,4,Grief Counseling,Roger Nygard,Jennifer Celotta,12-Oct-06,8.83
3,5,Initiation,Randall Einhorn,B. J. Novak,19-Oct-06,8.46
3,6,Diwali,Miguel Arteta,Mindy Kaling,2-Nov-06,8.81
3,7,Branch Closing†,Tucker Gates,Michael Schur,9-Nov-06,8.05
3,8,The Merger†,Ken Whittingham,Brent Forrester,16-Nov-06,8.63
3,9,The Convict,Jeffrey Blitz,Ricky Gervais & Stephen Merchant,30-Nov-06,9.07
3,10,A Benihana Christmas,Harold Ramis,Jennifer Celotta,14-Dec-06,9.07
3,11,A Benihana Christmas,Harold Ramis,Jennifer Celotta,14-Dec-06,8.44
3,12,Back from Vacation,Julian Farino,Justin Spitzer,4-Jan-07,8.8
3,13,Traveling Salesmen,Greg Daniels,Michael Schur & Lee Eisenberg & Gene Stupnitsky,11-Jan-07,10.12
3,14,The Return†,Greg Daniels,Lee Eisenberg & Gene Stupnitsky & Michael Schur,18-Jan-07,10.2
3,15,Ben Franklin,Randall Einhorn,Mindy Kaling,1-Feb-07,10.11
3,16,Phyllis' Wedding,Ken Whittingham,Caroline Williams,8-Feb-07,8.84
3,17,Business School,Joss Whedon,Brent Forrester,15-Feb-07,8.84
3,18,Cocktails,J. J. Abrams,Paul Lieberstein,22-Feb-07,8.3
3,19,The Negotiation†,Jeffrey Blitz,Michael Schur,5-Apr-07,6.74
3,20,Safety Training,Harold Ramis,B. J. Novak,12-Apr-07,7.71
3,21,Product Recall,Randall Einhorn,Justin Spitzer & Brent Forrester,26-Apr-07,7.56
3,22,Women's Appreciation†,Tucker Gates,Gene Stupnitsky & Lee Eisenberg,3-May-07,7
3,23,Beach Games†,Harold Ramis,Jennifer Celotta & Greg Daniels,10-May-07,7.2
3,24,The Job,Ken Kwapis,Paul Lieberstein & Michael Schur,17-May-07,7.88
3,25,The Job,Ken Kwapis,Paul Lieberstein & Michael Schur,17-May-07,7.88
4,1,Fun Run,Greg Daniels,Greg Daniels,27-Sep-07,9.7
4,2,Fun Run,Greg Daniels,Greg Daniels,27-Sep-07,9.7
4,3,Dunder Mifflin Infinity,Craig Zisk,Michael Schur,4-Oct-07,8.49
4,4,Dunder Mifflin Infinity,Craig Zisk,Michael Schur,4-Oct-07,8.49
4,5,Launch Party,Ken Whittingham,Jennifer Celotta,11-Oct-07,8.91
4,6,Launch Party,Ken Whittingham,Jennifer Celotta,11-Oct-07,8.91
4,7,Money,Paul Lieberstein,Paul Lieberstein,18-Oct-07,8.5
4,8,Money,Paul Lieberstein,Paul Lieberstein,18-Oct-07,8.5
4,9,Local Ad,Jason Reitman,B. J. Novak,25-Oct-07,8.98
4,10,Branch Wars,Joss Whedon,Mindy Kaling,1-Nov-07,8.39
4,11,Survivor Man,Paul Feig,Steve Carell,8-Nov-07,8.29
4,12,The Deposition,Julian Farino,Lester Lewis,15-Nov-07,8.86
4,13,Dinner Party,Paul Feig,Gene Stupnitsky & Lee Eisenberg,10-Apr-08,9.22
4,14,Chair Model,Jeffrey Blitz,B. J. Novak,17-Apr-08,9.81
4,15,Night Out,Ken Whittingham,Mindy Kaling,24-Apr-08,7.56
4,16,Did I Stutter?,Randall Einhorn,Brent Forrester & Justin Spitzer,1-May-08,7.67
4,17,Job Fair,Tucker Gates,Lee Eisenberg & Gene Stupnitsky,8-May-08,7.22
4,18,"Goodbye, Toby",Paul Feig,Jennifer Celotta & Paul Lieberstein,15-May-08,8.07
4,19,"Goodbye, Toby",Paul Feig,Jennifer Celotta & Paul Lieberstein,15-May-08,8.07
5,1,Weight Loss,Paul Feig,Lee Eisenberg & Gene Stupnitsky,25-Sep-08,9.2
5,2,Weight Loss,Paul Feig,Lee Eisenberg & Gene Stupnitsky,25-Sep-08,9.2
5,3,Business Ethics,Jeffrey Blitz,Ryan Koh,9-Oct-08,8.99
5,4,Baby Shower,Greg Daniels,Aaron Shure,16-Oct-08,8.07
5,5,Crime Aid,Jennifer Celotta,Charlie Grandy,23-Oct-08,7.74
5,6,Employee Transfer,David Rogers,Anthony Q. Farrell,30-Oct-08,9.32
5,7,Customer Survey,Stephen Merchant,Lester Lewis,6-Nov-08,8.35
5,8,Business Trip,Randall Einhorn,Brent Forrester,13-Nov-08,8.18
5,9,Frame Toby,Jason Reitman,Mindy Kaling,20-Nov-08,8.4
5,10,The Surplus,Paul Feig,Gene Stupnitsky & Lee Eisenberg,4-Dec-08,8.33
5,11,Moroccan Christmas,Paul Feig,Justin Spitzer,11-Dec-08,8.79
5,12,The Duel,Dean Holland,Jennifer Celotta,15-Jan-09,8.5
5,13,Prince Family Paper,Asaad Kelada,B. J. Novak,22-Jan-09,8.74
5,14,Stress Relief,Jeffrey Blitz,Paul Lieberstein,1-Feb-09,22.91
5,15,Stress Relief,Jeffrey Blitz,Paul Lieberstein,1-Feb-09,22.91
5,16,Lecture Circuit: Part 1,Ken Kwapis,Mindy Kaling,5-Feb-09,8.39
5,17,Lecture Circuit: Part 2,Ken Kwapis,Mindy Kaling,12-Feb-09,8.89
5,18,Blood Drive,Randall Einhorn,Brent Forrester,5-Mar-09,8.63
5,19,Golden Ticket,Randall Einhorn,Mindy Kaling,12-Mar-09,7.51
5,20,New Boss,Paul Feig,Lee Eisenberg & Gene Stupnitsky,19-Mar-09,7.95
5,21,Two Weeks,Paul Lieberstein,Aaron Shure,26-Mar-09,8.45
5,22,Dream Team,Paul Feig,B. J. Novak,9-Apr-09,7.2
5,23,Michael Scott Paper Company,Gene Stupnitsky,Justin Spitzer,9-Apr-09,7.94
5,24,Heavy Competition,Ken Whittingham,Ryan Koh,16-Apr-09,8.24
5,25,Broke,Steve Carell,Charlie Grandy,23-Apr-09,7.21
5,26,Casual Friday,Brent Forrester,Anthony Q. Farrell,30-Apr-09,7.31
5,27,Cafe Disco,Randall Einhorn,Warren Lieberstein & Halsted Sullivan,7-May-09,7.71
5,28,Company Picnic,Ken Kwapis,Jennifer Celotta & Paul Lieberstein,14-May-09,6.72
6,1,Gossip,Paul Lieberstein,Paul Lieberstein,17-Sep-09,8.2
6,2,The Meeting,Randall Einhorn,Aaron Shure,24-Sep-09,7.33
6,3,The Promotion,Jennifer Celotta,Jennifer Celotta,1-Oct-09,7.28
6,4,Niagara,Paul Feig,Greg Daniels & Mindy Kaling,8-Oct-09,9.42
6,5,Niagara,Paul Feig,Greg Daniels & Mindy Kaling,8-Oct-09,9.42
6,6,Mafia,David Rogers,Brent Forrester,15-Oct-09,8.1
6,7,The Lover,Lee Eisenberg,Lee Eisenberg & Gene Stupnitsky,22-Oct-09,8.52
6,8,Koi Pond,Reggie Hudlin,Warren Lieberstein & Halsted Sullivan,29-Oct-09,8.2
6,9,Double Date,Seth Gordon,Charlie Grandy,5-Nov-09,7.94
6,10,Murder,Greg Daniels,Daniel Chun,12-Nov-09,7.76
6,11,Shareholder Meeting,Charles McDougall,Justin Spitzer,19-Nov-09,7.43
6,12,Scott's Tots,B. J. Novak,Gene Stupnitsky & Lee Eisenberg,3-Dec-09,8.1
6,13,Secret Santa,Randall Einhorn,Mindy Kaling,10-Dec-09,8.51
6,14,The Banker,Jeffrey Blitz,Jason Kessler,21-Jan-10,7.29
6,15,Sabre,John Krasinski,Jennifer Celotta,4-Feb-10,7.36
6,16,The Manager and the Salesman,Marc Webb,Mindy Kaling,11-Feb-10,7.4
6,17,The Delivery,Seth Gordon,Daniel Chun,4-Mar-10,9
6,18,The Delivery,Harold Ramis,Charlie Grandy,4-Mar-10,9
6,19,St. Patrick's Day,Randall Einhorn,Jonathan Hughes,11-Mar-10,7.51
6,20,New Leads,Brent Forrester,Brent Forrester,18-Mar-10,7.63
6,21,Happy Hour,Matt Sohn,B. J. Novak,25-Mar-10,7.17
6,22,Secretary's Day,Steve Carell,Mindy Kaling,22-Apr-10,6.3
6,23,Body Language,Mindy Kaling,Justin Spitzer,29-Apr-10,7.01
6,24,The Cover-Up,Rainn Wilson,Gene Stupnitsky & Lee Eisenberg,6-May-10,6.84
6,25,The Chump,Randall Einhorn,Aaron Shure,13-May-10,6.6
6,26,Whistleblower,Paul Lieberstein,Warren Lieberstein & Halsted Sullivan,20-May-10,6.6
7,1,Nepotism,Jeffrey Blitz,Daniel Chun,23-Sep-10,8.4
7,2,Counseling,Jeffrey Blitz,B. J. Novak,30-Sep-10,7.36
7,3,Andy's Play,John Stuart Scott,Charlie Grandy,7-Oct-10,6.95
7,4,Sex Ed,Paul Lieberstein,Paul Lieberstein,14-Oct-10,7.36
7,5,The Sting,Randall Einhorn,Mindy Kaling,21-Oct-10,6.87
7,6,Costume Contest,Dean Holland,Justin Spitzer,28-Oct-10,8.07
7,7,Christening,Alex Hardcastle,Peter Ocko,4-Nov-10,7.65
7,8,Viewing Party,Ken Whittingham,Jon Vitti,11-Nov-10,7.15
7,9,WUPHF.com,Danny Leiner,Aaron Shure,18-Nov-10,7.28
7,10,China,Charles McDougall,Halsted Sullivan & Warren Lieberstein,2-Dec-10,7.31
7,11,Classy Christmas,Rainn Wilson,Mindy Kaling,9-Dec-10,7.18
7,12,Classy Christmas,Rainn Wilson,Mindy Kaling,9-Dec-10,7.18
7,13,Ultimatum,David Rogers,Carrie Kemper,20-Jan-11,8.26
7,14,The Seminar,B. J. Novak,Steve Hely,27-Jan-11,7.93
7,15,The Search,Michael Spiller,Brent Forrester,3-Feb-11,7.29
7,16,PDA,Greg Daniels,Robert Padnick,10-Feb-11,6.9
7,17,Threat Level Midnight,Tucker Gates,B. J. Novak,17-Feb-11,6.41
7,18,Todd Packer,Randall Einhorn,Amelie Gillette,24-Feb-11,6.12
7,19,Garage Sale,Steve Carell,Jon Vitti,24-Mar-11,7.07
7,20,Training Day,Paul Lieberstein,Daniel Chun,14-Apr-11,7.87
7,21,Michael's Last Dundies,Mindy Kaling,Mindy Kaling,21-Apr-11,6.85
7,22,"Goodbye, Michael†",Paul Feig,Greg Daniels,28-Apr-11,8.42
7,23,The Inner Circle,Matt Sohn,Charlie Grandy,5-May-11,6.9
7,24,"Dwight K. Schrute, (Acting) Manager",Troy Miller,Justin Spitzer,12-May-11,6.45
7,25,Search Committee,Jeffrey Blitz,Paul Lieberstein,19-May-11,7.29
7,26,Search Committee,Jeffrey Blitz,Paul Lieberstein,19-May-11,7.29
8,1,The List,B. J. Novak,B. J. Novak,22-Sep-11,7.64
8,2,The Incentive,Charles McDougall,Paul Lieberstein,29-Sep-11,6.7
8,3,Lotto,John Krasinski,Charlie Grandy,6-Oct-11,5.82
8,4,Garden Party,David Rogers,Justin Spitzer,13-Oct-11,6.08
8,5,Spooked,Randall Einhorn,Carrie Kemper,27-Oct-11,5.53
8,6,Doomsday,Troy Miller,Daniel Chun,3-Nov-11,6.15
8,7,Pam's Replacement,Matt Sohn,Allison Silverman,10-Nov-11,5.96
8,8,Gettysburg,Jeffrey Blitz,Robert Padnick,17-Nov-11,5.5
8,9,Mrs. California,Charlie Grandy,Dan Greaney,1-Dec-11,5.71
8,10,Christmas Wishes,Ed Helms,Mindy Kaling,8-Dec-11,5.79
8,11,Trivia,B. J. Novak,Steve Hely,12-Jan-12,5.9
8,12,Pool Party,Charles McDougall,Owen Ellickson,19-Jan-12,6.02
8,13,Jury Duty,Eric Appel,Aaron Shure,2-Feb-12,5.31
8,14,Special Project,David Rogers,Amelie Gillette,9-Feb-12,5.19
8,15,Tallahassee,Matt Sohn,Daniel Chun,16-Feb-12,4.38
8,16,After Hours,Brian Baumgartner,Halsted Sullivan & Warren Lieberstein,23-Feb-12,5.02
8,17,Test the Store,Brent Forrester,Mindy Kaling,1-Mar-12,4.95
8,18,Last Day in Florida,Matt Sohn,Robert Padnick,8-Mar-12,4.89
8,19,Get the Girl,Rainn Wilson,Charlie Grandy,15-Mar-12,4.87
8,20,Welcome Party,Ed Helms,Steve Hely,12-Apr-12,4.39
8,21,Angry Andy,Claire Scanlon,Justin Spitzer,19-Apr-12,4.35
8,22,Fundraiser,David Rogers,Owen Ellickson,26-Apr-12,4.17
8,23,Turf War,Daniel Chun,Warren Lieberstein & Halsted Sullivan,3-May-12,4.44
8,24,Free Family Portrait Studio,B. J. Novak,B. J. Novak,10-May-12,4.49
9,1,New Guys,Greg Daniels,Greg Daniels,20-Sep-12,4.28
9,2,Roy's Wedding,Matt Sohn,Allison Silverman,27-Sep-12,4.13
9,3,Andy's Ancestry,David Rogers,Jonathan Green & Gabe Miller,4-Oct-12,4.14
9,4,Work Bus,Bryan Cranston,Brent Forrester,18-Oct-12,4.28
9,5,Here Comes Treble,Claire Scanlon,Owen Ellickson,25-Oct-12,4
9,6,The Boat,John Krasinski,Dan Sterling,8-Nov-12,4.83
9,7,The Whale,Rodman Flender,Carrie Kemper,15-Nov-12,4.16
9,8,The Target,Brent Forrester,Graham Wagner,29-Nov-12,3.88
9,9,Dwight Christmas,Charles McDougall,Robert Padnick,6-Dec-12,4.16
9,10,Lice,Rodman Flender,Niki Schwartz-Wright,10-Jan-13,4.54
9,11,Suit Warehouse,Matt Sohn,Dan Greaney,17-Jan-13,4.15
9,12,Customer Loyalty,Kelly Cantley,Jonathan Green & Gabe Miller,24-Jan-13,4.19
9,13,Junior Salesman,David Rogers,Carrie Kemper,31-Jan-13,4.45
9,14,Vandalism,Lee Kirk,Owen Ellickson,31-Jan-13,3.97
9,15,Couples Discount,Troy Miller,Allison Silverman,7-Feb-13,4.15
9,16,Moving On,Jon Favreau,Graham Wagner,14-Feb-13,4.06
9,17,The Farm,Paul Lieberstein,Paul Lieberstein,14-Mar-13,3.54
9,18,Promos,Jennifer Celotta,Tim McAuliffe,4-Apr-13,3.44
9,19,Stairmageddon,Matt Sohn,Dan Sterling,11-Apr-13,3.83
9,20,Paper Airplane,Jesse Peretz,Halsted Sullivan & Warren Lieberstein,25-Apr-13,3.25
9,21,Livin' the Dream,Jeffrey Blitz,Niki Schwartz-Wright,2-May-13,3.51
9,22,A.A.R.M.,David Rogers,Brent Forrester,9-May-13,4.56
9,23,A.A.R.M.,David Rogers,Brent Forrester,9-May-13,4.56
9,24,Finale,Ken Kwapis,Greg Daniels,16-May-13,5.69
9,25,Finale,Ken Kwapis,Greg Daniels,16-May-13,5.69